photo,lat,lon,date_taken,alt,heading,notes
G0036433_21.JPG,40.9675388,-73.7326047,2017:08:03,8.902,275,alt values for G00 are not accurate
G0036435_11.JPG,40.9675184,-73.7327253,2017:08:03,5.869,275,alt values for G00 are not accurate
G0036449_21.JPG,40.9674347,-73.7333162,2017:08:03,9.039,275,alt values for G00 are not accurate
G0036449_23.JPG,40.9674347,-73.7333162,2017:08:03,9.039,275,alt values for G00 are not accurate
G0036450_23.JPG,40.9674057,-73.7334263,2017:08:03,10.248,275,alt values for G00 are not accurate
G0036451_22.JPG,40.9673732,-73.7335388,2017:08:03,10.148,275,alt values for G00 are not accurate
G0036452_21.JPG,40.9673416,-73.733648,2017:08:03,9.409,275,alt values for G00 are not accurate
G0036457_19.JPG,40.9671715,-73.7341653,2017:08:03,11.203,275,alt values for G00 are not accurate
G0036458_17.JPG,40.9671347,-73.7342725,2017:08:03,12.676,275,alt values for G00 are not accurate
G0036458_23.JPG,40.9671347,-73.7342725,2017:08:03,12.676,275,alt values for G00 are not accurate
G0036460_17.JPG,40.9670794,-73.7344816,2017:08:03,15.504,275,alt values for G00 are not accurate
G0036460_20.JPG,40.9670794,-73.7344816,2017:08:03,15.504,275,alt values for G00 are not accurate
G0036461_21.JPG,40.9670475,-73.7345891,2017:08:03,16.507,275,alt values for G00 are not accurate
G0036463_20.JPG,40.9670127,-73.7348017,2017:08:03,15.481,167,alt values for G00 are not accurate
G0036463_21.JPG,40.9670127,-73.7348017,2017:08:03,15.481,167,alt values for G00 are not accurate
G0036464_20.JPG,40.9670027,-73.7348651,2017:08:03,15.476,167,alt values for G00 are not accurate
G0036474_18.JPG,40.9670003,-73.7349086,2017:08:03,18.296,47,alt values for G00 are not accurate
G0036497_20.JPG,40.9672205,-73.7357129,2017:08:03,12.586,47,alt values for G00 are not accurate
G0036499_17.JPG,40.967089,-73.7356372,2017:08:03,16.968,47,alt values for G00 are not accurate
G0036499_18.JPG,40.967089,-73.7356372,2017:08:03,16.968,47,alt values for G00 are not accurate
G0036508_23.JPG,40.9665282,-73.7349102,2017:08:03,31.699,47,alt values for G00 are not accurate
G0036509_17.JPG,40.9665006,-73.7348115,2017:08:03,29.555,47,alt values for G00 are not accurate
G0036536_17.JPG,40.9665347,-73.7343592,2017:08:03,41.731,47,alt values for G00 are not accurate
G0036538_19.JPG,40.9665668,-73.7341583,2017:08:03,46.24,47,alt values for G00 are not accurate
G0036539_18.JPG,40.966599,-73.7340526,2017:08:03,46.445,47,alt values for G00 are not accurate
G0036541_21.JPG,40.9666742,-73.7338319,2017:08:03,43.315,47,alt values for G00 are not accurate
G0036545_18.JPG,40.9668054,-73.7334231,2017:08:03,40.134,47,alt values for G00 are not accurate
G0036549_21.JPG,40.9669131,-73.7329626,2017:08:03,53.504,47,alt values for G00 are not accurate
G0036550_20.JPG,40.96695,-73.7328521,2017:08:03,51.922,47,alt values for G00 are not accurate
